molecule_chembl_id,canonical_smiles,bioavtivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL366927,CCCCCCN(C)CC(=O)C(CC(=O)O)NC(=O)C(CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O.Cl,active,612.1720000000003,3.2579200000000017,3.0,11.0,8.0
CHEMBL179503,CCCCCN(C)CC(=O)C(CC(=O)O)NC(=O)C(CC)n1cc(C(C)(C)C)nc(NCc2nonc2C)c1=O.Cl,active,598.1450000000003,2.8678200000000014,3.0,11.0,8.0
CHEMBL203709,COc1ccccc1NC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O,active,395.37100000000015,1.5052999999999996,3.0,6.0,6.270025714300444
CHEMBL438969,O=C(CCC(=O)N1CCCCC1)Nc1ccc2c(c1)C(=O)C(=O)NC2=O,active,357.3660000000001,0.8705,2.0,5.0,6.636388020107856
CHEMBL202971,O=C(O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O,active,290.231,-0.05739999999999984,3.0,5.0,6.066006836168758
CHEMBL382481,O=C(CCCl)Nc1ccc2c(c1)C(=O)C(=O)NC2=O,active,280.66700000000003,0.7067,2.0,4.0,6.275724130399211
CHEMBL439872,CC(=O)OC(C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1ccccc1,active,366.32900000000006,1.3821999999999999,2.0,6.0,6.632644078973981
CHEMBL1835209,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,543.5740000000002,-2.497799999999991,7.0,9.0,7.337242168318426
CHEMBL1835208,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](COC(C)(C)C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,615.6810000000003,-1.7025999999999912,7.0,10.0,7.3872161432802645
CHEMBL1835210,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,569.6120000000003,-2.011499999999991,6.0,9.0,7.3872161432802645
